title,developer,publisher,year
Hatris,Bullet-Proof Software,Bullet-Proof Software,1992
Heavy Barrel,Data East,Data East,1990
"Heavy Shreddin'
Snowboard Challenge (PAL)",Imagineering,"Parker Brothers (NA)
Activision (PAL)",1990
High Speed,Rare,Tradewest,1991
Hogan's Alley,"Nintendo R&D1
Intelligent Systems",Nintendo,1985
Hollywood Squares,Rare,GameTek,1989
Home Alone,Bethesda Softworks,THQ,1991
Home Alone 2: Lost in New York,Imagineering,THQ,1992
Hook,Painting by Numbers,"Epic/Sony Records (JP)
Sony Imagesoft (NA)
Ocean Software (PAL)",1992
"Hoops
Moero!! Junior Basket (JP)",Aicom,Jaleco,1989
Hudson Hawk,Special FX,"Epic/Sony Records (JP)
Sony Imagesoft (NA)
Ocean Software (PAL)",1992
"Adventure Island
Takahashi Meijin no Boken Jima (JP)
Adventure Island Classic (PAL)
Adventure Island Classic in the Pacific (FR)",Hudson Soft,Hudson Soft,1988
"Hydlide
Hydlide Special (JP)",T&E Soft,"Toshiba EMI (JP)
FCI (NA)",1989
Ice Climber,Nintendo R&D1,Nintendo,1985
Ice Hockey,"Nintendo R&D2
Nintendo R&D4",Nintendo,1988
"Ikari III: The Rescue
Ikari III (JP)",Micronics,"K Amusement (JP)
SNK (NA)",1991
"Ikari Warriors
Ikari (JP)",Micronics,"K Amusement (JP)
SNK (NA/PAL)",1987
"Ikari Warriors II: Victory Road
Ikari II (JP)",Micronics,"K Amusement (JP)
SNK (NA)",1988
Image Fight,,Irem,1990
Indiana Jones and the Last Crusade,Software Creations,Taito,1991
"Indiana Jones and the Last Crusade
Indy: Indiana Jones and the Last Crusade (PAL)",NMS Software,Ubi Soft,1993
Indiana Jones and the Temple of Doom,Tengen,Mindscape,1988
Infiltrator,Eastridge Technology,Mindscape,1990
"Iron Tank: The Invasion of Normandy
Great Tank (JP)",SNK,SNK,1988
Ironsword: Wizards & Warriors II,Zippo Games,Acclaim Entertainment,1989
"Isolated Warrior
Max Warrior (JP)",KID,"VAP (JP)
NTVIC (NA)
Nintendo (PAL)",1991
Ivan 'Ironman' Stewart's Super Off Road,Rare,"Tradewest (NA)
Nintendo (PAL)",1990
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf,Sculptured Software,Konami,1990
Jackal,Konami,Konami,1988
"Jackie Chan's Action Kung Fu
Jackie Chan (JP)",Now Production,Hudson Soft,1990
James Bond Jr.,Eurocom,THQ,1992
Jaws,Escape/Westone,LJN,1987
Jeopardy!,Rare,GameTek,1988
Jeopardy! 25th Anniversary Edition,Rare,GameTek,1990
Jeopardy! Junior Edition,Rare,GameTek,1989
Jimmy Connors Tennis,NMS Software,Ubi Soft,1993
"Joe & Mac
Joe & Mac: Caveman Ninja (PAL)",Elite Systems,"Data East (NA)
Elite Systems (PAL)",1992
John Elway's Quarterback,Rare,Tradewest,1989
Jordan vs. Bird: One on One,Rare,Milton Bradley Company,1989
"Journey to Silius
Raf World (JP)",Sunsoft,Sunsoft,1990
Joust,HAL Laboratory,"HAL Laboratory (JP)
HAL America (NA)",1988
Jurassic Park,Ocean Software,Ocean Software,1993
"Kabuki: Quantum Fighter
Jigoku Gokuraku Maru (JP)",Human Entertainment,"Pack-In-Video (JP)
HAL America (NA)
Nintendo (PAL)",1991
Karate Champ,"Data East
Sakata SAS",Data East,1986
Karnov,"Data East
Sakata SAS","Namco (JP)
Data East (NA)",1988
Kick Master,KID,Taito,1992
"Kickle Cubicle
Meikyuu Shima (JP)",Irem,"Irem (JP/NA)
Nintendo (PAL)",1990
Kid Icarus,"Nintendo R&D1
Tose",Nintendo,1987
"Kid Klown in Night Mayor World
Mickey Mouse III: Yume Fuusen (JP)",Kemco,Kemco,1993
"Kid Kool
Kakefu Kimi no Jump Tengoku (JP)",Vic Tokai,Vic Tokai,1990
"Kid Niki: Radical Ninja
Kaiketsu Yancha Maru (JP)",Tose,"Irem (JP)
Data East (NA)",1987
King's Knight,"Square
Workss",Square,1989
King's Quest V: Absence Makes the Heart Go Yonder!,Novotrade International,Konami,1992
Kings of the Beach,Konami,Ultra Games,1990
"Kirby's Adventure
Hoshi no Kirby: Yume no Izumi no Monogatari (JP)",HAL Laboratory,Nintendo,1993
"Kiwi Kraze
The NewZealand Story (PAL)",Software Creations,"Taito (NA)
Ocean Software (PAL)",1991
KlashBall,The Bitmap Brothers,SOFEL,1991
Knight Rider,Pack-In-Video,"Pack-In-Video (JP)
Acclaim Entertainment (NA/PAL)",1989
Krusty's Fun House,Audiogenic,Acclaim Entertainment,1992
"Kung Fu
Spartan X (JP)",Nintendo,Nintendo,1985
"Kung-Fu Heroes
Super Chinese (JP)",Culture Brain,"Namco (JP)
Culture Brain (NA)",1989
L'Empereur,Koei,Koei,1991
"Laser Invasion
Gun Sight (JP)",Konami,Konami,1991
Last Action Hero,Teeny Weeny Games,Sony Imagesoft,1993
"Lee Trevino's Fighting Golf
Fighting Golf (JP)",SNK,SNK,1988
"Legacy of the Wizard
Dragon Slayer IV: Drasle Family (JP)",Nihon Falcom,"Namco (JP)
Brøderbund (NA)",1989
"Legend of the Ghost Lion
White Lion Densetsu (JP)",Kemco,Kemco,1992
Legendary Wings,Capcom,Capcom,1988
Legends of the Diamond,Tose,Bandai,1992
Lemmings,Ocean Software,Sunsoft,1992
Lethal Weapon,Eurocom,Ocean Software,1993
"Life Force
Salamander (JP)
Life Force Salamander (PAL)",Konami,Konami,1988
Little League Baseball: Championship Series,SNK,SNK,1990
"Little Nemo: The Dream Master
Pajama Hero Nemo (JP)",Capcom,"Capcom (JP/NA)
Nintendo (PAL)",1990
"Little Ninja Brothers
Super Chinese 2 (JP)",Culture Brain,Culture Brain,1991
"Little Samson
Seirei Densetsu Lickle (JP)",Takeru,Taito,1992
Lode Runner,Hudson Soft,"Hudson Soft (JP)
Brøderbund (NA)",1987
Loopz,"Audiogenic
Bits Studios",Mindscape,1990
Low G Man: The Low Gravity Man,KID,"Taxan (NA)
Nintendo (PAL)",1990
"Lunar Pool
Lunar Ball (JP)",Compile,"Pony Canyon (JP)
FCI (NA/PAL)",1987
"M.C. Kids
McDonaldland (PAL)",Virgin Games,"Virgin Games (NA)
Ocean Software (PAL)",1992
M.U.L.E.,Eastridge Technology,Mindscape,1990
"M.U.S.C.L.E. Tag Team Match
M.U.S.C.L.E.
Kinnikuman: Muscle Tag Match (JP)",Tose,Bandai,1986
Mach Rider,HAL Laboratory,Nintendo,1986
Mad Max,Eastridge Technology,Mindscape,1990
MagMax,Nihon Bussan,"Nihon Bussan (JP)
FCI (NA)",1988
Magic Darts,SETA,"SETA (JP)
Romstar (NA)",1991
Magic Johnson's Fast Break,Software Creations,Tradewest,1990
Magician,Eurocom,Taxan,1991
Major League Baseball,Atlus,LJN,1988
Maniac Mansion,"LucasArts
Realtime Associates",Jaleco,1990
Mappy-Land,Tose,"Namco (JP)
Taxan (NA)",1989
Marble Madness,Rare,Milton Bradley Company,1989
Mario Bros.,"Nintendo R&D1
Nintendo R&D2
Intelligent Systems",Nintendo,1986
Mario Is Missing!,Radical Entertainment,"Software Toolworks (NA)
Mindscape (PAL)",1993
Mario's Time Machine,Radical Entertainment,Software Toolworks,1994
Mechanized Attack,SNK,SNK,1990
"Mega Man
Rockman (JP)",Capcom,Capcom,1987
"Mega Man 2
Rockman 2: Dr. Wily no Nazo (JP)",Capcom,Capcom,1989
"Mega Man 3
Rockman 3: Dr. Wily no Saigo!? (JP)",Capcom,"Capcom (JP/NA)
Nintendo (PAL)",1990
"Mega Man 4
Rockman 4: Aratanaru Yabō!! (JP)",Capcom,"Capcom (JP/NA)
Nintendo (PAL)",1992
"Mega Man 5
Rockman 5: Blues no Wana!? (JP)",Capcom,"Capcom (JP/NA)
Nintendo (PAL)",1992
"Mega Man 6
Rockman 6: Shijō Saidai no Tatakai!! (JP)",Capcom,"Capcom (JP)
Nintendo (NA)",1994
"Mendel Palace
Quinty (JP)",Game Freak,"Namco (JP)
Hudson Soft (NA)",1990
Metal Gear,Konami,"Konami (JP/PAL)
Ultra Games (NA)",1988
